x,class,fold
the role of the epidermal growth factor receptor signaling pathway in drosophila retinal development,neuroscience,train
effects of resource availability and community composition on the outcome of multiple species interactions with ipomopsis aggregata,ecology,train
bargaining in the shadow of power,politic,train
island biogeography of non-discrete organisms functional analysis of resource island colonization by saprotrophic fungi using ft-ir,ecology,train
"stratigraphic evidence for late quaternary temporal clustering of large earthquakes on the puente hills segment of the elysian park thrust, eastern los",geophysics,train
mathematical sciences numerical methods for molecular dynamics,math,train
why do countries trade? analytical and empirical inquiries,economics,train
"enhance capabilities at carrie bow cay field station, belize",oceanography,train
"brookings panel on economic activity to be held at the brookings institution, washington, dc, 1994-1995",economics,train
"workshop on computational sciences, mathematics, and engineering",math,train
three-dimensional modeling of basin effects on ground motion from the northridge earthquake,geophysics,train
system and communication issues in optical networks,networking,train
application of dynamical systems to earthquake prediction,geophysics,train
(career) characterization of channel morphology and hydraulics for stream-restoration design,hydro,train
